title,rating,room_type,price
The Suncourt Hotel Yatri,8.0,Deluxe Double or Twin Room,2600
Hotel IVY Plaza Luxury,7.1,Deluxe Double Room,735
Hotel city lite,7.0,Deluxe Room,462
Hotel Aster Inn Karol Bagh New Delhi,7.7,Deluxe Room,2736
Airport Hotel Tashree,8.5,Standard Double Room,4200
Townhouse 1087 Aerosky Deluxe,6.3,Classic Triple Room,1200
Haveli Dharampura - UNESCO awarded Boutique Heritage Hotel,8.9,Jharoka Room,14875
Radisson Blu Hotel New Delhi Dwarka,6.4,"Superior Double or Twin Room with 20% discount on Food & Soft Beverage, Laundry and 1+1 in Atrium Lounge",6705
A sleepy Fox New Delhi,8.9,Double Room with Balcony,3000
Bloom Boutique l GK-1,8.1,Deluxe King Room,6500
Capital O 79858 Hotel Jp Tower,8.4,Deluxe Triple Room,1033
FabHotel Anutham Saket,7.3,(Sanitised) Deluxe Double Room,2921
Hotel Su Shree Continental 5 Minutes Walk From New Delhi Railway Station,7.9,Standard Double Room with Fan,1200
Hotel Delhi Airport,9.0,Superior Double Room,863
Jaypee Vasant Continental,7.2,Deluxe Double or Twin Room with with 10% discount on food and soft beverages (Not on In room dining ),5999
Indus Biznotel,8.0,Executive Double or Twin Room,4199
The Legend Inn Delhi,7.6,Economy Double Room,3800
"HOTEL KABIR PALACE, Karol Bagh DELHI",8.5,Superior Double Room,2429
FabHotel F9 Kirti Nagar,7.8,Deluxe Room,1869
Hotel The Royal Plaza,5.1,"Standard Double Room - Wifi, 20% Discount on Food & Soft Beverages, Spa & Saloon services",8999
Hotel Anand Lok Inn,8.5,Deluxe Double or Twin Room,2645
Hotel Lexe Mahipalpur,8.3,Deluxe Double or Twin Room,1034
Hotel Sun Village Near New Delhi Railway Station,7.3,Budget Double Room,1349
OYO Townhouse 511 Divino,3.5,Classic Triple Room,1386
Hotel Le Cadre @ Kailash Metro,6.1,"Executive Double or Twin Room with Free Upgrade to higher category (Subject to avl), Early check and (2 hrs) and Late Check Out (2 hrs) again subject to avl",3500
Taurus Sarovar Portico,5.4,Standard King Room,4499
Hotel Marina Near IGI Airport Delhi,6.6,Deluxe Room,666
FabHotel Cabana - Fully Vaccinated Staff,7.2,Deluxe Double Room,3214
Airport Hotel The R Blues,8.5,Economy Room,1999
Connaught Royale Delhi,6.6,Deluxe Double Room,4700
YWCA International Guest House,7.1,Economy Double or Twin Room,3100
Shanti Residency,,Budget Double Room,1500
Treebo Trip Arien International,8.0,Standard Double Room,1842
Olivia Stay,8.5,Deluxe Room,2999
Grand Godwin Near NDLS Railway Stn and Room with Airport Pick-up,7.0,Standard Double or Twin Room,2950
Hotel Grand Regency - Delhi Airport,7.2,Deluxe Room,2453
Raj Mahal Inn,7.4,Deluxe Double room Non AC,850
Lime Tree Greater Kailash Premier Stays -Next to GK 2 Metro Station,8.5,Deluxe King Room,4200
Hotel Pooja Palace,6.6,Deluxe Double Room,1804
"IP Royal Hotel - Couple Friendly Near Yamuna Sports Complex, Karkardooma New Delhi",7.6,Economy Double Room,3250
